ID,Method,Buffer Size,Hop size,Min IOI,Silence Threshold,Onset Threshold,,Global Accuracy,Global Precision,Global Recall,Global f1,,MAvg_pp Accuracy,MAvg_pp Precision,MAvg_pp Recall,MAvg_pp f1,,MAvg_t Accuracy,MAvg_t Precision,MAvg_t Recall,MAvg_t f1,,Piano Accuracy,Piano Precision,Piano Recall,,Mezzoforte Accuracy,Mezzoforte Precision,Mezzoforte Recall,,Forte Accuracy,Forte Precision,Forte Recall,,Adj Min (ms),Avg (ms),Adj Max (ms),Percentage in Adj min-max,MAvg_t Mean,MAvg_t IQR,MAvg_t Var,MAvg_t SD,MAvg_t loTukeyFence,MAvg_t hiTukeyFence,MAvg_t percentageIn,,Logfile name
13,hfc,64,64,0.02,-5,3,,0.3791,0.6984,0.4533,0.5498,,0.5112,0.7059,0.5827,0.6207,,0.5225,0.7308,0.5908,0.6257,,0.3848,0.7273,0.4496,,0.4059,0.6959,0.4933,,0.3469,0.6738,0.4169,,0.61,2.70,5.01,0.9651,2.7037,0.8131,0.6120,0.7417,1.0944,4.3467,0.9501,,./results/res_hfc_64_64_-5.0_3.0_0.02.log
14,hfc,64,64,0.02,-7,2,,0.4409,0.6293,0.5956,0.6120,,0.5634,0.6758,0.7002,0.6848,,0.5692,0.6747,0.7121,0.6868,,0.4007,0.6162,0.5340,,0.4270,0.6059,0.5911,,0.4934,0.6629,0.6585,,1.05,3.86,6.20,0.9115,3.8030,1.2001,2.8494,1.4208,1.2326,6.0331,0.9319,,./results/res_hfc_64_64_-7.0_2.0_0.02.log
15,hfc,64,64,0.02,-7,2.5,,0.3988,0.6607,0.5015,0.5702,,0.5375,0.6875,0.6285,0.6463,,0.5422,0.6878,0.6360,0.6465,,0.3836,0.6519,0.4824,,0.4155,0.6667,0.5244,,0.3965,0.6627,0.4967,,0.93,3.27,5.33,0.9324,3.3196,0.9457,1.8214,1.1469,1.3159,5.0989,0.9357,,./results/res_hfc_64_64_-7.0_2.5_0.02.log
16,hfc,64,64,0.02,-3,2,,0.4797,0.8079,0.5414,0.6483,,0.5855,0.8296,0.6325,0.7088,,0.5986,0.8361,0.6462,0.7195,,0.3522,0.7706,0.3934,,0.4971,0.8109,0.5622,,0.5809,0.8278,0.6608,,0.89,3.97,6.33,0.9110,3.8703,1.2092,3.3007,1.5322,1.2327,6.0696,0.9336,,./results/res_hfc_64_64_-3.0_2.0_0.02.log
17,hfc,64,64,0.02,-3,3,,0.3798,0.8120,0.4164,0.5505,,0.4960,0.8099,0.5280,0.6158,,0.5041,0.8511,0.5340,0.6201,,0.3428,0.8351,0.3677,,0.4188,0.8101,0.4644,,0.3747,0.7957,0.4146,,0.61,2.68,4.96,0.9620,2.7041,0.7609,0.5454,0.6990,1.1854,4.2290,0.9486,,./results/res_hfc_64_64_-3.0_3.0_0.02.log
18,hfc,128,64,0.02,-5,2.5,,0.4307,0.7398,0.5075,0.6021,,0.5705,0.7574,0.6314,0.6744,,0.5848,0.7801,0.6456,0.6871,,0.3862,0.7451,0.4450,,0.4333,0.7222,0.5200,,0.4690,0.7530,0.5543,,1.72,3.47,5.19,0.9184,3.4995,0.8003,0.6410,0.7337,1.8947,5.0958,0.9467,,./results/res_hfc_128_64_-5.0_2.5_0.02.log
19,hfc,128,64,0.02,-5,2,,0.4561,0.6772,0.5828,0.6265,,0.5516,0.6983,0.6854,0.6832,,0.5865,0.7304,0.7092,0.7061,,0.3992,0.6796,0.4918,,0.4367,0.6359,0.5822,,0.5289,0.7156,0.6696,,1.93,3.86,5.82,0.9134,3.8312,0.9102,1.0300,0.9223,2.0219,5.6628,0.9485,,./results/res_hfc_128_64_-5.0_2.0_0.02.log
20,hfc,128,64,0.02,-6,1.9,,0.4523,0.6323,0.6137,0.6229,,0.5432,0.6601,0.7110,0.6795,,0.5745,0.6897,0.7326,0.7002,,0.4145,0.6496,0.5340,,0.4245,0.5921,0.6000,,0.5146,0.6577,0.7029,,1.91,3.92,5.95,0.9043,3.8751,0.9403,1.1866,0.9989,2.0256,5.7867,0.9425,,./results/res_hfc_128_64_-6.0_1.9_0.02.log
21,hfc,128,64,0.02,-7,2,,0.4252,0.6025,0.5911,0.5967,,0.5309,0.6398,0.6955,0.6625,,0.5525,0.6547,0.7172,0.6745,,0.3841,0.5952,0.5199,,0.4003,0.5637,0.5800,,0.4903,0.6467,0.6696,,1.93,3.86,5.78,0.9108,3.8300,0.9077,1.0617,0.9493,2.0235,5.6543,0.9478,,./results/res_hfc_128_64_-7.0_2.0_0.02.log
22,hfc,128,64,0.02,-20,3,,0.3064,0.4675,0.4706,0.4690,,0.4567,0.5366,0.6056,0.5672,,0.4628,0.5401,0.6112,0.5663,,0.3088,0.4729,0.4707,,0.3164,0.4647,0.4978,,0.2937,0.4651,0.4435,,1.31,3.05,4.84,0.9296,3.0880,0.7093,0.5376,0.6773,1.6957,4.5331,0.9443,,./results/res_hfc_128_64_-20.0_3.0_0.02.log
