ID,Method,Buffer Size,Hop size,Min IOI,Silence Threshold,Onset Threshold,,Global Accuracy,Global Precision,Global Recall,Global f1,,MAvg_pp Accuracy,MAvg_pp Precision,MAvg_pp Recall,MAvg_pp f1,,MAvg_t Accuracy,MAvg_t Precision,MAvg_t Recall,MAvg_t f1,,Piano Accuracy,Piano Precision,Piano Recall,,Mezzoforte Accuracy,Mezzoforte Precision,Mezzoforte Recall,,Forte Accuracy,Forte Precision,Forte Recall,,Adj Min (ms),Avg (ms),Adj Max (ms),Percentage in Adj min-max,MAvg_t Mean,MAvg_t IQR,MAvg_t Var,MAvg_t SD,MAvg_t loTukeyFence,MAvg_t hiTukeyFence,MAvg_t percentageIn,,Logfile name
13,hfc,64,64,0.02,-35,2.5,,0.8056,0.9016,0.8833,0.8924,,0.8454,0.9238,0.9036,0.9136,,0.8566,0.9317,0.9089,0.9196,,0.7417,0.8630,0.8407,,0.7988,0.8941,0.8822,,0.8779,0.9456,0.9246,,1.63,4.11,6.21,0.9309,4.1030,1.1064,1.6504,1.1251,1.7430,6.1685,0.9500,,./results/res_hfc_64_64_-35.0_2.5_0.02.log
14,hfc,64,64,0.02,-35,2.4,,0.8000,0.8923,0.8855,0.8889,,0.8403,0.9159,0.9053,0.9105,,0.8473,0.9208,0.9087,0.9140,,0.7392,0.8571,0.8431,,0.7948,0.8847,0.8867,,0.8669,0.9329,0.9246,,1.86,4.17,6.33,0.9328,4.1674,1.1211,1.6625,1.1304,1.7890,6.2733,0.9521,,./results/res_hfc_64_64_-35.0_2.4_0.02.log
15,hfc,64,64,0.02,-35,2.6,,0.8079,0.9076,0.8803,0.8937,,0.8461,0.9279,0.9008,0.9141,,0.8555,0.9347,0.9048,0.9190,,0.7422,0.8686,0.8361,,0.8086,0.9064,0.8822,,0.8737,0.9453,0.9202,,1.76,4.06,6.08,0.9273,4.0451,1.0908,1.7444,1.1385,1.7088,6.0719,0.9482,,./results/res_hfc_64_64_-35.0_2.6_0.02.log
16,hfc,64,64,0.02,-36,2.5,,0.8012,0.8961,0.8833,0.8896,,0.8426,0.9200,0.9036,0.9117,,0.8545,0.9288,0.9089,0.9182,,0.7428,0.8595,0.8454,,0.7924,0.8862,0.8822,,0.8700,0.9410,0.9202,,1.63,4.11,6.21,0.9301,4.1042,1.1069,1.6504,1.1254,1.7424,6.1702,0.9490,,./results/res_hfc_64_64_-36.0_2.5_0.02.log
17,hfc,64,64,0.02,-37,2.5,,0.7955,0.8905,0.8818,0.8861,,0.8388,0.9161,0.9026,0.9093,,0.8461,0.9224,0.9050,0.9131,,0.7449,0.8599,0.8478,,0.7861,0.8783,0.8822,,0.8565,0.9321,0.9135,,1.63,4.11,6.21,0.9300,4.1041,1.1002,1.6480,1.1246,1.7517,6.1523,0.9479,,./results/res_hfc_64_64_-37.0_2.5_0.02.log
18,hfc,64,64,0.02,-34,2.5,,0.8101,0.9104,0.8803,0.8951,,0.8483,0.9298,0.9015,0.9154,,0.8573,0.9365,0.9057,0.9201,,0.7324,0.8652,0.8267,,0.8172,0.9149,0.8844,,0.8819,0.9478,0.9268,,1.63,4.11,6.21,0.9307,4.1071,1.1134,1.6646,1.1281,1.7353,6.1891,0.9499,,./results/res_hfc_64_64_-34.0_2.5_0.02.log
19,hfc,64,64,0.02,-34,2.4,,0.8043,0.9015,0.8818,0.8915,,0.8429,0.9221,0.9026,0.9122,,0.8478,0.9256,0.9050,0.9144,,0.7299,0.8592,0.8290,,0.8126,0.9068,0.8867,,0.8708,0.9351,0.9268,,1.86,4.17,6.33,0.9325,4.1718,1.1200,1.6767,1.1334,1.7938,6.2740,0.9514,,./results/res_hfc_64_64_-34.0_2.4_0.02.log
20,hfc,64,64,0.02,-33,2.5,,0.8058,0.9107,0.8750,0.8925,,0.8452,0.9298,0.8977,0.9135,,0.8547,0.9366,0.9026,0.9184,,0.7235,0.8657,0.8150,,0.8131,0.9145,0.8800,,0.8819,0.9478,0.9268,,1.63,4.09,6.21,0.9329,4.1009,1.1006,1.5577,1.1040,1.7573,6.1598,0.9508,,./results/res_hfc_64_64_-33.0_2.5_0.02.log
21,hfc,64,64,0.02,-33,2.4,,0.7999,0.9022,0.8758,0.8888,,0.8391,0.9225,0.8975,0.9099,,0.8442,0.9261,0.9007,0.9122,,0.7190,0.8593,0.8150,,0.8102,0.9085,0.8822,,0.8708,0.9351,0.9268,,1.86,4.15,6.30,0.9338,4.1609,1.1184,1.5544,1.1035,1.7959,6.2695,0.9540,,./results/res_hfc_64_64_-33.0_2.4_0.02.log
22,hfc,64,64,0.02,-33,2.3,,0.7926,0.8938,0.8750,0.8843,,0.8335,0.9152,0.8977,0.9063,,0.8367,0.9181,0.8995,0.9077,,0.7190,0.8593,0.8150,,0.7992,0.8924,0.8844,,0.8595,0.9265,0.9224,,1.93,4.23,6.39,0.9329,4.2384,1.1425,1.7300,1.1633,1.8172,6.3871,0.9548,,./results/res_hfc_64_64_-33.0_2.3_0.02.log
