ID,Method,Buffer Size,Hop size,Min IOI,Silence Threshold,Onset Threshold,,Global Accuracy,Global Precision,Global Recall,Global f1,,MAvg_pp Accuracy,MAvg_pp Precision,MAvg_pp Recall,MAvg_pp f1,,MAvg_t Accuracy,MAvg_t Precision,MAvg_t Recall,MAvg_t f1,,Piano Accuracy,Piano Precision,Piano Recall,Piano f1-score,Mezzoforte Accuracy,Mezzoforte Precision,Mezzoforte Recall,Mezzoforte f1-score,Forte Accuracy,Forte Precision,Forte Recall,Forte f1-score,Adj Min (ms),Avg (ms),Adj Max (ms),Percentage in Adj min-max,MAvg_t Mean,MAvg_t IQR,MAvg_t Var,MAvg_t SD,MAvg_t loTukeyFence,MAvg_t hiTukeyFence,MAvg_t percentageIn,,Logfile name
15,mkl,64,64,0.02,-45,1,,0.6842,0.7851,0.8419,0.8125,,0.739,0.8481,0.8493,0.8453,,0.7353,0.8546,0.8380,0.8404,,0.5728,0.7481,0.7096,,0.6547,0.7394,0.8511,,0.8308,0.8623,0.9579,,2.50,4.77,6.99,0.949,,,,,,,,,./results/res_mkl_64_64_-45.0_1.0_0.02.log
16,mkl,128,64,0.02,-46,1.1,,0.6967,0.7904,0.8547,0.8213,,0.7529,0.8503,0.8641,0.8542,,0.7513,0.8581,0.8551,0.8514,,0.5797,0.7446,0.7237,,0.6759,0.7544,0.8667,,0.8401,0.8651,0.9667,,3.08,5.07,6.96,0.9427,,,,,,,,,./results/res_mkl_128_64_-46.0_1.1_0.02.log
17,mkl,128,64,0.02,-41,0.8,,0.7003,0.812,0.8358,0.8237,,0.7408,0.8654,0.8379,0.8484,,0.7388,0.8694,0.8326,0.8441,,0.6008,0.812,0.6979,,0.6493,0.748,0.8311,,0.8538,0.876,0.9712,,3.48,5.29,7.27,0.9414,,,,,,,,,./results/res_mkl_128_64_-41.0_0.8_0.02.log
18,mkl,128,64,0.02,-41,0.6,,0.68,0.769,0.8547,0.8096,,0.7294,0.8289,0.8585,0.8397,,0.7381,0.8397,0.8579,0.8425,,0.6152,0.81,0.719,,0.605,0.6725,0.8578,,0.8308,0.8451,0.98,,2.98,5.46,7.56,0.9392,,,,,,,,,./results/res_mkl_128_64_-41.0_0.6_0.02.log
19,mkl,128,64,0.02,-43,1,,0.7064,0.8138,0.8426,0.828,,0.752,0.8672,0.8484,0.8551,,0.7506,0.8730,0.8430,0.8520,,0.6012,0.7887,0.7166,,0.6732,0.7741,0.8378,,0.8466,0.872,0.9667,,3.23,5.12,7.04,0.9437,,,,,,,,,./results/res_mkl_128_64_-43.0_1.0_0.02.log
20,mkl,128,64,0.02,-43,1.8,,0.6686,0.9158,0.7123,0.8014,,0.6946,0.9371,0.7262,0.8183,,0.6781,0.9405,0.7083,0.7993,,0.3389,0.7703,0.377,,0.7469,0.9273,0.7933,,0.9264,0.9749,0.949,,2.44,4.70,6.58,0.9397,,,,,,,,,./results/res_mkl_128_64_-43.0_1.8_0.02.log
21,mkl,128,64,0.02,-43,0.8,,0.701,0.7901,0.8614,0.8242,,0.751,0.8488,0.8662,0.854,,0.7519,0.8551,0.8619,0.8522,,0.6279,0.7845,0.7588,,0.6486,0.7332,0.8489,,0.8311,0.8521,0.9712,,3.45,5.28,7.23,0.9406,5.2674,1.1507,1.256,0.9669,2.8606,7.4632,0.9642,,./results/res_mkl_128_64_-43_0.8_0.02.log
22,mkl,256,64,0.02,-48,0.75,,0.6939,0.7474,0.9066,0.8193,,0.7608,0.8185,0.9126,0.858,,0.7624,0.8274,0.9057,0.8582,,0.6512,0.7339,0.8525,,0.6494,0.704,0.8933,,0.7864,0.8051,0.9712,,3.98,6.28,8.23,0.9327,,,,,,,,,./results/res_mkl_256_64_-48.0_0.75_0.02.log
23,mkl,256,64,0.02,-48,0.9,,0.6955,0.7614,0.8893,0.8204,,0.7602,0.8304,0.8967,0.8579,,0.7627,0.8397,0.8917,0.8587,,0.6316,0.7373,0.815,,0.6611,0.7236,0.8844,,0.7982,0.8223,0.9645,,4.17,6.12,7.96,0.9323,,,,,,,,,./results/res_mkl_256_64_-48.0_0.9_0.02.log
24,mkl,256,64,0.02,-49,0.9,,0.6883,0.7491,0.8946,0.8154,,0.7577,0.822,0.9026,0.8555,,0.7590,0.8299,0.8971,0.8555,,0.6351,0.729,0.8314,,0.6472,0.7069,0.8844,,0.788,0.8116,0.9645,,4.17,6.12,7.96,0.9327,,,,,,,,,./results/res_mkl_256_64_-49.0_0.9_0.02.log
